"clueGiverID","clueGiverRandCode","guesserID","guesserRandCode","target1","target2","clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOption1","GUESS_OPTION1_TIME","GuessOption2","GUESS_OPTION2_TIME","GuessOption3","GUESS_OPTION3_TIME","GuessOption4","GUESS_OPTION4_TIME","GuessOption5","GUESS_OPTION5_TIME","GuessOption6","GUESS_OPTION6_TIME","GuessOption7","GUESS_OPTION7_TIME","GuessOption8","GUESS_OPTION8_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
2,41428,1,43854,"BLOW","BLAZE","a",2257,2257,"b",2585,4353,"c",5467,5467,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","a",1467,1467,"PUNISHMENT",1734,"BLOW",2167,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BLOW",1356,"AMP",3659
2,41428,1,43854,"BLOW","BLAZE","a",1615,1615,"v",2135,2135,"c",2649,2649,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","d",1001,1001,"BLOW",833,"AMP",3038,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FIB",21730,"EYES",22341
2,41428,1,43854,"BLOW","BLAZE","s",1558,1558,"d",3326,3326,"d",3933,3933,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","s",1132,1132,"PUNISHMENT",2036,"EYES",2370,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BLOW",801,"BLAZE",1631
2,41428,1,43854,"EYES","SMELL","a",1391,1391,"b",2303,2303,"c",3071,3071,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","b",103022,103022,"ANTIDOTE",2724,"PIE",3264,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","AMP",1049,"HELICOPTER",1707
2,41428,1,43854,"EYES","SMELL","a",1399,1399,"v",2320,2320,"c",2807,2807,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","2",1103,1103,"FIB",1582,"EYES",1983,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","EYES",1530,"HELICOPTER",1945
2,41428,1,43854,"EYES","SMELL","a",46778,46778,"v",47243,47243,"c",47723,47723,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","3",594,594,"PUNISHMENT",1732,"EYES",2146,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","HELICOPTER",696,"WEEP",1007
2,41428,1,43854,"WEEP","FAMILY","s",1171,1171,"e",1788,1788,"d",2228,2228,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","ss",1047,1254,"ANTIDOTE",1641,"EYES",2098,"EYES",2891,"BLAME",12721,"NA","NA","NA","NA","NA","NA","NA","NA","WEEP",513,"PIE",814
2,41428,1,43854,"WEEP","FAMILY","a",1040,1040,"v",1370,1370,"c",1794,1794,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","2",891,891,"FIB",810,"EYES",2675,"ANTIDOTE",3093,"BLAME",12721,"NA","NA","NA","NA","NA","NA","NA","NA","WEEP",834,"FAMILY",2418
