"clueGiverID","clueGiverRandCode","guesserID","guesserRandCode","target1","target2","clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOption1","GUESS_OPTION1_TIME","GuessOption2","GUESS_OPTION2_TIME","GuessOption3","GUESS_OPTION3_TIME","GuessOption4","GUESS_OPTION4_TIME","GuessOption5","GUESS_OPTION5_TIME","GuessOption6","GUESS_OPTION6_TIME","GuessOption7","GUESS_OPTION7_TIME","GuessOption8","GUESS_OPTION8_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
"NA","NA","NA","NA","BLOW","BLAZE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TORCH",2955,3580,"BLAZE",5589,"BLOW",6381,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BLOW",1639,"BLAZE",2192
"NA","NA","NA","NA","SMELL","EYES","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SE",3973,4249,"SMELL",2012,"EYES",3059,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SMELL",1391,"EYES",2342
"NA","NA","NA","NA","FAMILY","WEEP","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FUN",3746,5186,"FAMILY",2868,"WEEP",3740,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FAMILY",6089,"WEEP",6746
