"player","stage","role","StartTimeFinalClue","GuessFinal","timestamp"
"260372273781444","instructions","NA","NA","NA",1609042055930
"717969140170940","instructions","NA","NA","NA",1609042056704
"260372273781444","gameplay","NA","NA","NA",1609042060286
"260372273781444","gameplay","NA","NA","NA",1609042060288
"260372273781444","gameplay","NA","NA","NA",1609042060289
"260372273781444","gameplay","NA","NA","NA",1609042060290
"260372273781444","gameplay","NA","NA","NA",1609042060290
"260372273781444","gameplay","NA","NA","NA",1609042060290
"260372273781444","gameplay","NA","NA","NA",1609042060291
"260372273781444","gameplay","NA","NA","NA",1609042060291
"260372273781444","gameplay","NA","NA","NA",1609042060292
"260372273781444","gameplay","NA","NA","NA",1609042060292
"260372273781444","gameplay","NA","NA","NA",1609042060292
"260372273781444","gameplay","NA","NA","NA",1609042060293
"260372273781444","gameplay","NA","NA","NA",1609042060293
"260372273781444","gameplay","NA","NA","NA",1609042060294
"260372273781444","gameplay","NA","NA","NA",1609042060294
"260372273781444","gameplay","NA","NA","NA",1609042060295
"260372273781444","gameplay","NA","NA","NA",1609042060295
"260372273781444","gameplay","NA","NA","NA",1609042060295
"260372273781444","gameplay","NA","NA","NA",1609042060296
"260372273781444","gameplay","NA","NA","NA",1609042060296
"260372273781444","gameplay","NA","NA","NA",1609042060297
"260372273781444","gameplay","NA","NA","NA",1609042060297
"260372273781444","gameplay","NA","NA","NA",1609042060298
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042060299
"717969140170940","gameplay","GUESSER","NA","NA",1609042060300
"717969140170940","gameplay","GUESSER","NA","NA",1609042063619
"260372273781444","gameplay","NA","NA","NA",1609042063620
"260372273781444","gameplay","NA","NA","NA",1609042063620
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042063621
"717969140170940","gameplay","NA","NA","NA",1609042064893
"717969140170940","gameplay","NA","NA","NA",1609042065379
"717969140170940","gameplay","NA","NA","NA",1609042065838
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042066708
"717969140170940","gameplay","GUESSER","NA","NA",1609042066709
"717969140170940","gameplay","NA","NA","SMELL",1609042067555
"717969140170940","gameplay","NA","NA","FAMILY",1609042068117
"717969140170940","gameplay","NA","NA","BLOW",1609042068567
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042069299
"717969140170940","gameplay","GUESSER","NA","NA",1609042069300
"260372273781444","gameplay","NA","NA","NA",1609042073120
"260372273781444","gameplay","NA","NA","NA",1609042073127
"260372273781444","gameplay","NA","NA","NA",1609042073127
"260372273781444","gameplay","NA","NA","NA",1609042073128
"260372273781444","gameplay","NA","NA","NA",1609042073128
"260372273781444","gameplay","NA","NA","NA",1609042073128
"260372273781444","gameplay","NA","NA","NA",1609042073129
"260372273781444","gameplay","NA","NA","NA",1609042073129
"260372273781444","gameplay","NA","NA","NA",1609042073129
"260372273781444","gameplay","NA","NA","NA",1609042073130
"260372273781444","gameplay","NA","NA","NA",1609042073130
"260372273781444","gameplay","NA","NA","NA",1609042073131
"260372273781444","gameplay","NA","NA","NA",1609042073131
"260372273781444","gameplay","NA","NA","NA",1609042073131
"260372273781444","gameplay","NA","NA","NA",1609042073132
"260372273781444","gameplay","NA","NA","NA",1609042073132
"260372273781444","gameplay","NA","NA","NA",1609042073133
"260372273781444","gameplay","NA","NA","NA",1609042073133
"260372273781444","gameplay","NA","NA","NA",1609042073133
"260372273781444","gameplay","NA","NA","NA",1609042073134
"260372273781444","gameplay","NA","NA","NA",1609042073134
"260372273781444","gameplay","NA","NA","NA",1609042073134
"260372273781444","gameplay","NA","NA","NA",1609042073135
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042073136
"717969140170940","gameplay","GUESSER","NA","NA",1609042073137
"717969140170940","gameplay","GUESSER","NA","NA",1609042075026
"260372273781444","gameplay","NA","NA","NA",1609042075027
"260372273781444","gameplay","NA","NA","NA",1609042075027
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042075028
"717969140170940","gameplay","NA","NA","NA",1609042076515
"717969140170940","gameplay","NA","NA","NA",1609042077019
"717969140170940","gameplay","NA","NA","NA",1609042077480
"260372273781444","gameplay","CLUEGIVER","NA","NA",1609042077935
"717969140170940","gameplay","GUESSER","NA","NA",1609042077936
"717969140170940","gameplay","NA","NA","QUICK",1609042078531
"717969140170940","gameplay","NA","NA","ANALYZE",1609042079001
"717969140170940","gameplay","NA","NA","BEAM",1609042079606
