"player","stage.stage","stage.step","stage.round","role","clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOptions","GuessFinal","timestamp"
"294572276631426",2,5,3,"GUESSER","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","EYES","SMELL","NA"
"819388590556182",2,5,3,"CLUEGIVER","a",1230,1230,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA",819,819,819,"NA","NA","NA"
