"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp"
791,"false","true","565154169424677",1,1,1,1608574648147
1500,"false","true","345337379079014",1,1,1,1608574648893
1967,"false","true","565154169424677",2,1,1,1608574651171
1984,"false","true","345337379079014",2,1,1,1608574651171
2789,"false","true","565154169424677",2,2,1,1608574653967
"NA","NA","NA","345337379079014",2,2,1,1608574653967
"NA","NA","NA","345337379079014",2,2,1,1608574653968
2785,"false","true","345337379079014",2,2,1,1608574653969
"NA","NA","NA","565154169424677",2,3,1,1608574655905
2362,"false","true","345337379079014",2,3,1,1608574656620
2353,"false","true","565154169424677",2,3,1,1608574656620
"NA","NA","NA","565154169424677",2,4,1,1608574657093
1177,"false","true","345337379079014",2,4,1,1608574657803
1171,"false","true","565154169424677",2,4,1,1608574657803
2257,"false","true","565154169424677",2,1,2,1608574660389
2272,"false","true","345337379079014",2,1,2,1608574660390
2299,"false","true","565154169424677",2,2,2,1608574662696
"NA","NA","NA","345337379079014",2,2,2,1608574662697
"NA","NA","NA","345337379079014",2,2,2,1608574662698
2298,"false","true","345337379079014",2,2,2,1608574662698
"NA","NA","NA","565154169424677",2,3,2,1608574664418
"NA","NA","NA","565154169424677",2,3,2,1608574666575
4949,"false","true","345337379079014",2,3,2,1608574667937
4930,"false","true","565154169424677",2,3,2,1608574667937
"NA","NA","NA","565154169424677",2,4,2,1608574668443
1005,"false","true","345337379079014",2,4,2,1608574668954
1002,"false","true","565154169424677",2,4,2,1608574668954
2577,"false","true","565154169424677",2,1,3,1608574671809
2581,"false","true","345337379079014",2,1,3,1608574671809
1784,"false","true","565154169424677",2,2,3,1608574673601
"NA","NA","NA","345337379079014",2,2,3,1608574673602
"NA","NA","NA","345337379079014",2,2,3,1608574673602
1785,"false","true","345337379079014",2,2,3,1608574673603
"NA","NA","NA","565154169424677",2,3,3,1608574675028
1868,"false","true","345337379079014",2,3,3,1608574675763
1864,"false","true","565154169424677",2,3,3,1608574675763
"NA","NA","NA","565154169424677",2,4,3,1608574676402
1216,"false","true","345337379079014",2,4,3,1608574676987
1213,"false","true","565154169424677",2,4,3,1608574676987
