"clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOption1","GUESS_OPTION1_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
"aaa",1730,2315,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","rrrr",1468,1990,"THIRST",1729,"BLAZE",5081,"BLOW",6394
"eeee",1249,1745,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","ssss",1173,1701,"THIRST",1729,"SMELL",2028,"EYES",3151
