"player","StartTimeFinalClue"
"352472537740681","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489",2610
"828618309994489","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489","NA"
"352472537740681","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489",2054
"828618309994489","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489","NA"
"352472537740681","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489",1867
"828618309994489","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489","NA"
"352472537740681","NA"
"352472537740681","NA"
"352472537740681","NA"
"828618309994489","NA"
"352472537740681","NA"
