"clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOptions","GUESS_OPTIONS_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
"aa",2028,2220,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","erre",1049,1737,"FIB",2163,"ANTIDOTE",799,"FOLLOWER",1131
"ee",1691,1890,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","fdd",1110,1502,"BLOW",1073,"BLOW",481,"BLAZE",1507
"eeee",1372,2162,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","ssses",1743,2978,"SMELL",4606,"SMELL",525,"EYES",1297
