"clueGiverID","clueGiverRandCode","guesserID","guesserRandCode","clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOption1","GUESS_OPTION1_TIME","GuessOption2","GUESS_OPTION2_TIME","GuessOption3","GUESS_OPTION3_TIME","GuessOption4","GUESS_OPTION4_TIME","GuessOption5","GUESS_OPTION5_TIME","GuessOption6","GUESS_OPTION6_TIME","GuessOption7","GUESS_OPTION7_TIME","GuessOption8","GUESS_OPTION8_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
222,89968,333,39962,"a",2677,2677,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","b",1038,1038,"SMELL",1446,"FAMILY",1920,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","AMP",668,"HELICOPTER",1747
222,89968,333,39962,"aa",4733,4981,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","bb",1449,1619,"BLOW",2160,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BLOW",1776,"BLAZE",2774
222,89968,333,39962,"aaa",1798,2207,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","ddd",1309,1684,"FOLLOWER",10540,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ANTIDOTE",656,"PIE",962
222,89968,333,39962,"aaa",2724,3139,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","eeeee",1069,1822,"LEAP",19799,"DATE",20127,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NAVY",761,"DATE",1157
222,89968,333,39962,"aaaa",1308,1932,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","sss",714,1066,"FIB",1226,"EYES",1792,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","WEEP",604,"HELICOPTER",895
