alpha,type,n_steps,wordpair,Clue1,clue_score
RSA,union,512,giant-subtle,opposite,7.90105e-05
RSA,union,1024,giant-subtle,opposite,7.85674e-05
RSA,union,2048,giant-subtle,opposite,7.84419e-05
RSA,union,4096,giant-subtle,opposite,7.84155e-05
RSA,intersection,32,giant-subtle,opposite,0.0001237885
RSA,intersection,64,giant-subtle,opposite,0.0001042702
RSA,intersection,128,giant-subtle,opposite,9.28314e-05
RSA,intersection,256,giant-subtle,opposite,8.49897e-05
RSA,intersection,512,giant-subtle,opposite,8.10499e-05
RSA,intersection,1024,giant-subtle,opposite,7.91807e-05
RSA,intersection,2048,giant-subtle,opposite,7.86691e-05
RSA,intersection,4096,giant-subtle,opposite,7.84952e-05
RSA,union,2,giant-subtle,quiet,0.0493775155
RSA,union,4,giant-subtle,quiet,0.0223394424
RSA,union,8,giant-subtle,quiet,0.0160292352
RSA,union,16,giant-subtle,quiet,0.0133536108
RSA,union,32,giant-subtle,quiet,0.0116818312
RSA,union,64,giant-subtle,quiet,0.0108018987
RSA,union,128,giant-subtle,quiet,0.0102630469
RSA,union,256,giant-subtle,quiet,0.0100398184
RSA,union,512,giant-subtle,quiet,0.0098875641
RSA,union,1024,giant-subtle,quiet,0.0098321232
RSA,union,2048,giant-subtle,quiet,0.0098164172
RSA,union,4096,giant-subtle,quiet,0.009813107
RSA,intersection,8,giant-subtle,quiet,0.0286649803
RSA,intersection,16,giant-subtle,quiet,0.020050051
RSA,intersection,32,giant-subtle,quiet,0.0154911982
RSA,intersection,64,giant-subtle,quiet,0.0130486244
RSA,intersection,128,giant-subtle,quiet,0.0116171531
RSA,intersection,256,giant-subtle,quiet,0.0106358174
RSA,intersection,512,giant-subtle,quiet,0.0101427792
RSA,intersection,1024,giant-subtle,quiet,0.0099088649
RSA,intersection,2048,giant-subtle,quiet,0.009844849
RSA,intersection,4096,giant-subtle,quiet,0.0098230811
RSA,union,4,giant-subtle,size,0.0273236082
RSA,union,8,giant-subtle,size,0.019605527
RSA,union,16,giant-subtle,size,0.0163329426
RSA,union,32,giant-subtle,size,0.0142881712
RSA,union,64,giant-subtle,size,0.0132119164
RSA,union,128,giant-subtle,size,0.0125528412
RSA,union,256,giant-subtle,size,0.012279808
RSA,union,512,giant-subtle,size,0.0120935842
RSA,union,1024,giant-subtle,size,0.0120257738
RSA,union,2048,giant-subtle,size,0.0120065636
RSA,union,4096,giant-subtle,size,0.0120025149
RSA,intersection,4,giant-subtle,size,0.0647080326
