"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp"
1046,"false","true","604457413852443",1,1,1,1608422007987
1776,"false","true","457402091078955",1,1,1,1608422008913
2745,"false","true","604457413852443",2,1,1,1608422011961
2755,"false","true","457402091078955",2,1,1,1608422011962
1965,"false","true","604457413852443",2,2,1,1608422013934
"NA","NA","NA","457402091078955",2,2,1,1608422013934
"NA","NA","NA","457402091078955",2,2,1,1608422013935
1965,"false","true","457402091078955",2,2,1,1608422013936
"NA","NA","NA","604457413852443",2,3,1,1608422015789
2303,"false","true","457402091078955",2,3,1,1608422016507
2265,"false","true","604457413852443",2,3,1,1608422016508
"NA","NA","NA","604457413852443",2,4,1,1608422016960
1559,"false","true","457402091078955",2,4,1,1608422018075
1555,"false","true","604457413852443",2,4,1,1608422018076
3594,"false","true","604457413852443",2,1,2,1608422022015
3620,"false","true","457402091078955",2,1,2,1608422022016
1862,"false","true","604457413852443",2,2,2,1608422023885
"NA","NA","NA","457402091078955",2,2,2,1608422023886
"NA","NA","NA","457402091078955",2,2,2,1608422023886
1862,"false","true","457402091078955",2,2,2,1608422023887
"NA","NA","NA","604457413852443",2,3,2,1608422026020
2419,"false","true","457402091078955",2,3,2,1608422026599
2398,"false","true","604457413852443",2,3,2,1608422026600
"NA","NA","NA","604457413852443",2,4,2,1608422027298
1678,"false","true","457402091078955",2,4,2,1608422028284
1676,"false","true","604457413852443",2,4,2,1608422028285
2651,"false","true","604457413852443",2,1,3,1608422031273
2663,"false","true","457402091078955",2,1,3,1608422031275
"NA","NA","NA","457402091078955",2,2,3,1608422033690
"NA","NA","NA","457402091078955",2,2,3,1608422033691
2408,"false","true","457402091078955",2,2,3,1608422033692
2409,"false","true","604457413852443",2,2,3,1608422033692
"NA","NA","NA","604457413852443",2,3,3,1608422035769
2384,"false","true","457402091078955",2,3,3,1608422036387
2360,"false","true","604457413852443",2,3,3,1608422036388
"NA","NA","NA","604457413852443",2,4,3,1608422036920
1258,"false","true","457402091078955",2,4,3,1608422037651
1255,"false","true","604457413852443",2,4,3,1608422037652
