"clueGiverID","clueGiverRandCode","guesserID","guesserRandCode","target1","target2","clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOption1","GUESS_OPTION1_TIME","GuessOption2","GUESS_OPTION2_TIME","GuessOption3","GUESS_OPTION3_TIME","GuessOption4","GUESS_OPTION4_TIME","GuessOption5","GUESS_OPTION5_TIME","GuessOption6","GUESS_OPTION6_TIME","GuessOption7","GUESS_OPTION7_TIME","GuessOption8","GUESS_OPTION8_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
"NA","NA","NA","NA","BLOW","BLAZE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TORCH",3391,4190,"BLOW",2312,"BLAZE",3526,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BLOW",1496,"BLAZE",2495
"NA","NA","NA","NA","SMELL","EYES","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SENSES",3318,5133,"SMELL",2206,"EYES",3244,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SMELL",3009,"EYES",3849
"NA","NA","NA","NA","WEEP","FAMILY","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","DEATH",4367,5266,"FAMILY",3186,"WEEP",5153,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FAMILY",2369,"WEEP",3313
