"clueGiverID","clueGiverRandCode","guesserID","guesserRandCode","target1","target2","clueOption1","TBOption1","TEOption1","clueOption2","TBOption2","TEOption2","clueOption3","TBOption3","TEOption3","clueOption4","TBOption4","TEOption4","clueOption5","TBOption5","TEOption5","clueOption6","TBOption6","TEOption6","clueOption7","TBOption7","TEOption7","clueOption8","TBOption8","TEOption8","clueFinal","TBFinal","TEFinal","GuessOption1","GUESS_OPTION1_TIME","GuessOption2","GUESS_OPTION2_TIME","GuessOption3","GUESS_OPTION3_TIME","GuessOption4","GUESS_OPTION4_TIME","GuessOption5","GUESS_OPTION5_TIME","GuessOption6","GUESS_OPTION6_TIME","GuessOption7","GUESS_OPTION7_TIME","GuessOption8","GUESS_OPTION8_TIME","GUESS_1_FINAL","GUESS_1_FINAL_TIME","GUESS_2_FINAL","GUESS_2_FINAL_TIME"
2,94308,1,97523,"BLOW","BLAZE","a",2059,2059,"b",2787,2787,"c",3300,3300,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","a",1000,1000,"SMELL",1093,"FAMILY",1576,"BLOW",1866,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FIB",3258,"FOLLOWER",3586
2,94308,1,97523,"BLOW","BLAZE","a",1208,1208,"b",2390,2390,"c",3222,3222,"","NA","NA","","NA","NA","","NA","NA","","NA","NA","","NA","NA","a",1309,1309,"PUNISHMENT",924,"<button id=\"b14\" class=\"button button1\">ANTIDOTE</button>",2170,"ANTIDOTE",2983,"WEEP",4222,"NA","NA","NA","NA","NA","NA","NA","NA","HELICOPTER",1582,"ANTIDOTE",3071
