"player","ID","RandCode","age","gender","education","domHand","alert","racial","hispanic","english","language","english5","englishAge","msc"
"510240801022211",2,91228,21,"Male",4,"Right","Morning","Black","No","Yes","","Yes","","Nothing"
"211931019152187",1,94415,22,"Female",4,"Left","Evening","African American","No","Yes","","Yes","","Nothing"
