"Experiment","Board","wordpair","clue","count","total","proportion"
"E2","TrialList1","cave-knight","medieval",7,43,0.162790697674419
"E2","TrialList1","cave-knight","dungeon",4,43,0.0930232558139535
"E2","TrialList1","cave-knight","adventure",2,43,0.0465116279069767
"E2","TrialList1","cave-knight","darkness",2,43,0.0465116279069767
"E2","TrialList1","cave-knight","warrior",2,43,0.0465116279069767
"E2","TrialList1","cave-knight","batman",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","castle",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","hide",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","kingdom",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","monster",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","opposite",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","protection",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","quest",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","soldier",1,43,0.0232558139534884
"E2","TrialList1","cave-knight","valor",1,43,0.0232558139534884
"E2","TrialList10","chair-table","furniture",16,44,0.363636363636364
"E2","TrialList10","chair-table","dine",8,44,0.181818181818182
"E2","TrialList10","chair-table","dinner",6,44,0.136363636363636
"E2","TrialList10","chair-table","seat",4,44,0.0909090909090909
"E2","TrialList10","chair-table","desk",3,44,0.0681818181818182
"E2","TrialList10","chair-table","kitchen",2,44,0.0454545454545455
"E2","TrialList10","chair-table","dining",1,44,0.0227272727272727
"E2","TrialList10","chair-table","dining room",1,44,0.0227272727272727
"E2","TrialList10","chair-table","household",1,44,0.0227272727272727
"E2","TrialList10","chair-table","mealtime",1,44,0.0227272727272727
"E2","TrialList10","chair-table","sit",1,44,0.0227272727272727
"E1","TrialList3","circle-dance","spin",4,30,0.133333333333333
"E1","TrialList3","circle-dance","celebration",2,30,0.0666666666666667
"E1","TrialList3","circle-dance","moshpit",2,30,0.0666666666666667
"E1","TrialList3","circle-dance","move",2,30,0.0666666666666667
"E1","TrialList3","circle-dance","party",2,30,0.0666666666666667
"E1","TrialList3","circle-dance","art",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","campfire",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","choreography",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","circus",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","formation",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","group",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","hula",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","mixer",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","movement",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","performance",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","prom",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","ritual",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","round",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","shape",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","social",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","square",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","squaredance",1,30,0.0333333333333333
"E1","TrialList3","circle-dance","twirl",1,30,0.0333333333333333
"E1","TrialList8","communicate-cooking","recipe",9,31,0.290322580645161
"E1","TrialList8","communicate-cooking","kitchen",3,31,0.0967741935483871
"E1","TrialList8","communicate-cooking","bake",2,31,0.0645161290322581
"E1","TrialList8","communicate-cooking","chef",2,31,0.0645161290322581
"E1","TrialList8","communicate-cooking","show",2,31,0.0645161290322581
"E1","TrialList8","communicate-cooking","book",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","competition",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","cultural",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","culture",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","food",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","list",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","mother",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","partner",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","practice",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","ramsey",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","talk",1,31,0.032258064516129
