"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp"
2832,"false","true","522171598917081",1,1,1,1608575139396
2787,"false","true","136345941713968",1,1,1,1608575140162
3849,"false","true","136345941713968",2,1,1,1608575144330
3852,"false","true","522171598917081",2,1,1,1608575144331
2018,"false","true","136345941713968",2,2,1,1608575146355
"NA","NA","NA","522171598917081",2,2,1,1608575146356
"NA","NA","NA","522171598917081",2,2,1,1608575146356
2014,"false","true","522171598917081",2,2,1,1608575146357
"NA","NA","NA","136345941713968",2,3,1,1608575149019
2992,"false","true","522171598917081",2,3,1,1608575149668
3009,"false","true","136345941713968",2,3,1,1608575149668
"NA","NA","NA","136345941713968",2,4,1,1608575150124
1207,"false","true","522171598917081",2,4,1,1608575150883
1203,"false","true","136345941713968",2,4,1,1608575150884
3428,"false","true","136345941713968",2,1,2,1608575154611
3437,"false","true","522171598917081",2,1,2,1608575154612
"NA","NA","NA","522171598917081",2,2,2,1608575156083
"NA","NA","NA","522171598917081",2,2,2,1608575156084
1467,"false","true","136345941713968",2,2,2,1608575156084
1463,"false","true","522171598917081",2,2,2,1608575156085
"NA","NA","NA","136345941713968",2,3,2,1608575157783
2056,"false","true","522171598917081",2,3,2,1608575158455
2070,"false","true","136345941713968",2,3,2,1608575158456
"NA","NA","NA","136345941713968",2,4,2,1608575158923
1622,"false","true","522171598917081",2,4,2,1608575160086
1623,"false","true","136345941713968",2,4,2,1608575160086
2734,"false","true","136345941713968",2,1,3,1608575163114
2744,"false","true","522171598917081",2,1,3,1608575163115
3218,"false","true","136345941713968",2,2,3,1608575166338
"NA","NA","NA","522171598917081",2,2,3,1608575166338
"NA","NA","NA","522171598917081",2,2,3,1608575166339
3214,"false","true","522171598917081",2,2,3,1608575166340
"NA","NA","NA","136345941713968",2,3,3,1608575167573
1515,"false","true","522171598917081",2,3,3,1608575168153
1488,"false","true","136345941713968",2,3,3,1608575168154
"NA","NA","NA","136345941713968",2,4,3,1608575168763
1303,"false","true","522171598917081",2,4,3,1608575169464
1303,"false","true","136345941713968",2,4,3,1608575169464
